384.31,387.12,381.32,382.65,2572000
380.66,384.42,378.8,383.54,2388400
374.66,381.58,374.65,381.2,2633900
376.15,379.31,374.03,374.41,1950200
370.1,380.2,369.36,377.04,3043500
370.5,373.28,369,372.25,1867100
372.1,373.16,368.34,370.26,2451100
373.24,377.7,371.51,372.1,2501100
371.87,376.12,371.55,374.59,1811800
367.11,373.17,366.57,370.56,2603800
369.59,371.4,365.65,367.35,2926400
375.17,380.5,370.29,370.96,3377200
373.99,375.24,372.27,374.09,2224000
378.07,381.77,374.94,375.11,2235300
376.29,379.37,375.92,378.49,3729900
373.87,377.11,372.19,373.24,1911400
369.97,375.99,366.7,375.14,2654100
371.11,374.5,369.64,371.92,2037000
370.38,373.94,366.72,373.35,2354100
371.52,373.99,366.68,370.58,2611700
368.82,375.5,367.52,374.24,2810000
370.61,373.35,366.26,366.37,2495100
377.45,377.77,369.18,369.51,3121000
378.4,379.33,375.28,378.56,2311400
385.52,387,378.88,380.09,2627000
385.61,388.42,383.89,387.83,2693500
385.71,387.9,382.19,382.72,2259100
383.95,386.1,381.6,384.61,1946500
380.85,385.9,379.48,385.66,2139200
384,385.99,379.79,380.16,2532300
384.07,389.37,383.28,384.8,2687100
377.27,387.85,376.54,385.37,3174500
378.65,380.48,376.16,378.59,1920800
383.44,384.54,378,380.14,2177000
378.62,383.7,375.84,383.66,3258000
373.49,381.88,373.43,379,2953800
373.78,376.74,372.85,373.37,2650600
377.72,379.99,372.67,375.43,3673200
378.41,383,377.01,381.83,3475100
375.1,378.51,373.15,377.17,2791100
371.23,377.1,371.1,375.14,2786500
371.19,374.3,368.51,373,2287200
371,374.41,367.2,370.56,2724600
374.87,375.99,371.01,374.28,3871300
366,378.8,365.9,373.89,7247600
358.38,367.5,358.23,364.75,4169900
360.29,367.82,360.21,363.55,6212600
350.05,365,350.01,364.47,10231900
346.32,359.5,340.74,354.53,23856100
304.73,312.8,299.33,311.78,8656600
309.81,311.51,303.8,303.91,3063800
306.3,310.24,302.63,306.75,2920300
311.82,313,307.52,309.66,3169700
308.08,316.93,307.72,312.39,4496400
300,312.25,300,310.32,5362600
289.64,306,287.26,297.25,10065100
292.59,293.36,286.39,289.44,3075100
286.28,290.79,285.25,290.74,3478200
294,296,286.82,286.95,4410200
291.93,295.91,286.5,293.27,5538700
297.48,301.5,293.23,294.74,4130900
297.56,298.51,289.28,291.41,3421400
301.48,302.87,296.68,296.93,2589500
300.32,303.14,296.11,300.46,3088400
297.5,301.28,295.33,298.42,2640300
302.24,303,292.38,295.29,3519000
307.01,308.38,300.85,302.19,2774200
312.58,314.75,306.96,308.52,2783200
311.55,312.98,310.01,310.35,2048000
309.91,313.94,309.34,310.3,2093000
307.85,314.27,306.58,312.04,3009000
305,310.78,303.81,309.09,2887500
306.38,307,302.88,303.03,1513800
306.98,307.49,303.25,306.29,2713700
301.94,307.36,301.94,306.54,4003800
296.91,301.54,295.52,299.9,8709100
304.01,304.5,293.25,297.73,7738100
296.37,299.67,293.03,298.88,4433500
304.35,304.49,295.01,295.06,6501300
308.87,310.86,302.15,306.07,3841600
303.99,310.64,303.01,307.32,3153500
307.89,312.64,306.01,307.36,3262900
312,313.19,304.68,305.84,3245900
302.99,313.64,301.14,312.5,4049500
311.57,316.56,304.82,306.64,3639200
316.8,316.93,310.84,312.63,3265200
315.53,318.59,313.47,316.93,3290300
325.73,326.77,314.36,316.5,5681000
327.5,327.93,323.25,326.31,2783500
338.12,340.64,325.93,326,4944900
336.03,341.26,336.03,338.64,3051800
