"87","GE","27.200","24770143","45038","4/30/2015","2:04pm"
"88","S","5.125","8292271","11900","4/30/2015","2:04pm"
"89","BAC","15.980","46438674","156166","4/30/2015","2:04pm"
"90","MSFT","49.170","40425418","123740","4/30/2015","2:04pm"
"91","AMZN","424.360","1839044","4120","4/30/2015","2:05pm"
"92","AAPL","125.590","54574278","112137","4/30/2015","2:05pm"
"93","FB","79.341","14225744","25217","4/30/2015","2:05pm"
"94","GOOG","538.270","1104891","6818","4/30/2015","2:05pm"
"95","YHOO","42.770","6642781","118516","4/30/2015","2:05pm"
"96","SIRI","3.940","20736119","28994","4/30/2015","2:05pm"
"97","GE","27.205","24818359","48216","4/30/2015","2:05pm"
"98","S","5.120","8300971","8700","4/30/2015","2:05pm"
"99","BAC","15.975","46527234","88560","4/30/2015","2:05pm"
"100","MSFT","49.160","40466564","41146","4/30/2015","2:05pm"
"101","AMZN","424.413","1855321","16277","4/30/2015","2:06pm"
"102","AAPL","125.645","54696831","122553","4/30/2015","2:06pm"
"103","FB","79.323","14260382","34638","4/30/2015","2:06pm"
"104","GOOG","538.260","1111176","6285","4/30/2015","2:06pm"
"105","YHOO","42.740","6666569","23788","4/30/2015","2:06pm"
"106","SIRI","3.940","20747681","11562","4/30/2015","2:06pm"
"107","GE","27.201","24890111","71752","4/30/2015","2:06pm"
"108","S","5.120","8312984","12013","4/30/2015","2:06pm"
"109","BAC","15.970","46833767","306533","4/30/2015","2:06pm"
"110","MSFT","49.196","40734814","268250","4/30/2015","2:06pm"
"111","AMZN","424.330","1866543","11222","4/30/2015","2:07pm"
"112","AAPL","125.600","54876039","179208","4/30/2015","2:07pm"
"113","FB","79.311","14284500","24118","4/30/2015","2:07pm"
"114","GOOG","538.300","1112558","1382","4/30/2015","2:07pm"
"115","YHOO","42.750","6684253","17684","4/30/2015","2:06pm"
"116","SIRI","3.940","20756481","8800","4/30/2015","2:07pm"
"117","GE","27.215","24904941","14830","4/30/2015","2:07pm"
"118","S","5.120","8317184","4200","4/30/2015","2:07pm"
"119","BAC","15.975","46926284","92517","4/30/2015","2:07pm"
"120","MSFT","49.205","40782647","47833","4/30/2015","2:07pm"
"121","AMZN","424.030","1879333","12790","4/30/2015","2:08pm"
"122","AAPL","125.580","54944138","68099","4/30/2015","2:08pm"
"123","FB","79.310","14339028","54528","4/30/2015","2:08pm"
"124","GOOG","538.480","1126085","13527","4/30/2015","2:08pm"
"125","YHOO","42.731","6694604","10351","4/30/2015","2:08pm"
"126","SIRI","3.930","20763853","7372","4/30/2015","2:08pm"
"127","GE","27.210","24962058","57117","4/30/2015","2:08pm"
"128","S","5.130","8321150","3966","4/30/2015","2:08pm"
"129","BAC","15.979","46947131","20847","4/30/2015","2:08pm"
"130","MSFT","49.175","40819191","36544","4/30/2015","2:08pm"
"131","AMZN","424.030","1884834","5501","4/30/2015","2:09pm"
