"135","YHOO","42.545","36.946","-0.055"
"136","SIRI","3.916","3.401","-0.008"
"137","GE","27.184","23.608","-0.022"
"138","S","5.108","4.437","0.000"
"139","BAC","15.898","13.808","-0.031"
"140","MSFT","48.932","42.489","-0.066"
"141","AMZN","421.993","366.530","-0.542"
"142","AAPL","125.166","108.703","-0.153"
"143","FB","78.789","68.415","-0.140"
"144","GOOG","537.257","466.650","-0.076"
"145","YHOO","42.557","36.964","-0.051"
"146","SIRI","3.915","3.400","-0.010"
"147","GE","27.192","23.616","-0.022"
"148","S","5.109","4.440","0.001"
"149","BAC","15.901","13.812","-0.036"
"150","MSFT","48.933","42.491","-0.070"
"151","AMZN","422.129","366.627","-0.519"
"152","AAPL","125.204","108.749","-0.159"
"153","FB","78.803","68.429","-0.142"
"154","GOOG","537.437","466.810","-0.216"
"155","YHOO","42.565","36.968","-0.051"
"156","SIRI","3.916","3.400","-0.011"
"157","GE","27.196","23.618","-0.021"
"158","S","5.115","4.446","0.003"
"159","BAC","15.909","13.817","-0.039"
"160","MSFT","48.945","42.507","-0.077"
"161","AMZN","422.296","366.771","-0.491"
"162","AAPL","125.254","108.800","-0.153"
"163","FB","78.813","68.439","-0.147"
"164","GOOG","537.559","466.876","-0.332"
"165","YHOO","42.567","36.961","-0.046"
"166","SIRI","3.916","3.401","-0.011"
"167","GE","27.195","23.612","-0.016"
"168","S","5.121","4.450","0.004"
"169","BAC","15.912","13.819","-0.040"
"170","MSFT","48.943","42.497","-0.078"
"171","AMZN","422.475","366.946","-0.484"
"172","AAPL","125.310","108.844","-0.144"
"173","FB","78.813","68.441","-0.147"
"174","GOOG","537.745","467.063","-0.423"
"175","YHOO","42.577","36.970","-0.042"
"176","SIRI","3.919","3.404","-0.011"
"177","GE","27.197","23.614","-0.009"
"178","S","5.124","4.449","0.004"
"179","BAC","15.914","13.818","-0.041"
"180","MSFT","48.945","42.502","-0.080"
"181","AMZN","422.589","367.056","-0.478"
"182","AAPL","125.352","108.873","-0.145"
"183","FB","78.811","68.432","-0.152"
"184","GOOG","537.954","467.155","-0.491"
"185","YHOO","42.586","36.982","-0.037"
"186","SIRI","3.920","3.406","-0.010"
"187","GE","27.196","23.612","-0.004"
"188","S","5.124","4.448","0.002"
"189","BAC","15.917","13.822","-0.041"
"190","MSFT","48.956","42.514","-0.083"
"191","AMZN","422.741","367.170","-0.394"
"192","AAPL","125.396","108.902","-0.135"
"193","FB","78.815","68.428","-0.151"
"194","GOOG","538.014","467.239","-0.561"
"195","YHOO","42.590","36.991","-0.031"
"196","SIRI","3.922","3.407","-0.008"
"197","GE","27.193","23.612","0.002"
"198","S","5.121","4.442","0.000"
"199","BAC","15.920","13.826","-0.039"
"200","MSFT","48.968","42.528","-0.080"
"201","AMZN","422.865","367.230","-0.294"
"202","AAPL","125.411","108.899","-0.107"
"203","FB","78.803","68.415","-0.139"
"204","GOOG","538.124","467.347","-0.557"
"205","YHOO","42.592","36.988","-0.020"
"206","SIRI","3.924","3.408","-0.007"
"207","GE","27.189","23.608","0.008"
"208","S","5.117","4.439","0.001"
"209","BAC","15.920","13.826","-0.034"
"210","MSFT","48.972","42.535","-0.070"
"211","AMZN","422.927","367.240","-0.145"
"212","AAPL","125.407","108.882","-0.069"
"213","FB","78.788","68.403","-0.122"
"214","GOOG","538.190","467.317","-0.449"
"215","YHOO","42.600","36.988","-0.011"
"216","SIRI","3.924","3.406","-0.004"
"217","GE","27.189","23.605","0.014"
"218","S","5.113","4.438","0.003"
"219","BAC","15.922","13.827","-0.025"
"220","MSFT","48.989","42.544","-0.055"
"221","AMZN","422.901","367.176","0.025"
"222","AAPL","125.409","108.890","-0.024"
"223","FB","78.775","68.395","-0.108"
"224","GOOG","538.117","467.194","-0.328"
"225","YHOO","42.600","36.986","-0.001"
"226","SIRI","3.924","3.407","-0.004"
"227","GE","27.185","23.603","0.017"
"228","S","5.110","4.435","0.006"
"229","BAC","15.926","13.830","-0.018"
"230","MSFT","48.997","42.547","-0.041"
"231","AMZN","422.901","367.176","0.025"
"232","AAPL","125.409","108.890","-0.024"
"233","FB","78.775","68.395","-0.108"
"234","GOOG","538.117","467.194","-0.328"
"235","YHOO","42.600","36.986","-0.001"
"236","SIRI","3.924","3.407","-0.004"
"237","GE","27.185","23.603","0.017"
"238","S","5.110","4.435","0.006"
"239","BAC","15.926","13.830","-0.018"
"240","MSFT","48.997","42.547","-0.041"
"241","AMZN","422.863","367.121","0.180"
"242","AAPL","125.393","108.868","0.026"
"243","FB","78.763","68.382","-0.095"
"244","GOOG","538.006","467.011","-0.210"
"245","YHOO","42.588","36.970","0.012"
"246","SIRI","3.923","3.406","-0.001"
"247","GE","27.181","23.598","0.019"
"248","S","5.108","4.435","0.008"
"249","BAC","15.927","13.831","-0.010"
"250","MSFT","49.001","42.548","-0.029"
"251","AMZN","422.799","367.073","0.272"
"252","AAPL","125.389","108.881","0.071"
"253","FB","78.755","68.380","-0.077"
"254","GOOG","537.906","466.964","-0.024"
"255","YHOO","42.580","36.969","0.021"
"256","SIRI","3.923","3.407","0.000"
"257","GE","27.176","23.595","0.021"
"258","S","5.111","4.440","0.007"
"259","BAC","15.928","13.833","-0.005"
"260","MSFT","49.001","42.548","-0.012"
"261","AMZN","422.717","367.002","0.388"
"262","AAPL","125.386","108.878","0.109"
"263","FB","78.715","68.320","-0.058"
"264","GOOG","537.752","466.883","0.026"
"265","YHOO","42.582","36.977","0.021"
"266","SIRI","3.922","3.405","0.002"
"267","GE","27.171","23.589","0.018"
"268","S","5.112","4.440","0.007"
"269","BAC","15.930","13.833","0.000"
"270","MSFT","48.993","42.534","0.000"
"271","AMZN","422.621","366.914","0.477"
"272","AAPL","125.390","108.876","0.134"
"273","FB","78.693","68.306","-0.050"
"274","GOOG","537.607","466.751","0.107"
"275","YHOO","42.574","36.965","0.025"
"276","SIRI","3.922","3.405","0.004"
"277","GE","27.166","23.584","0.017"
"278","S","5.112","4.439","0.005"
"279","BAC","15.929","13.830","0.004"
"280","MSFT","48.984","42.525","0.007"
"281","AMZN","422.587","366.908","0.534"
"282","AAPL","125.366","108.845","0.142"
"283","FB","78.661","68.280","-0.044"
"284","GOOG","537.591","466.806","0.217"
"285","YHOO","42.562","36.950","0.034"
"286","SIRI","3.922","3.406","0.006"
"287","GE","27.160","23.580","0.018"
"288","S","5.110","4.434","0.001"
"289","BAC","15.929","13.830","0.008"
"290","MSFT","48.972","42.513","0.024"
"291","AMZN","422.513","366.827","0.533"
"292","AAPL","125.356","108.825","0.142"
"293","FB","78.633","68.261","-0.051"
"294","GOOG","537.711","466.977","0.244"
"295","YHOO","42.556","36.939","0.032"
"296","SIRI","3.922","3.405","0.006"
"297","GE","27.154","23.574","0.014"
"298","S","5.108","4.432","0.000"
"299","BAC","15.925","13.824","0.013"
"300","MSFT","48.968","42.517","0.033"
"301","AMZN","422.434","366.759","0.508"
"302","AAPL","125.324","108.800","0.138"
"303","FB","78.580","68.214","-0.053"
"304","GOOG","537.773","467.066","0.300"
"305","YHOO","42.536","36.917","0.029"
"306","SIRI","3.921","3.405","0.006"
"307","GE","27.143","23.562","0.010"
"308","S","5.106","4.433","-0.002"
"309","BAC","15.918","13.816","0.015"
"310","MSFT","48.959","42.512","0.039"
"311","AMZN","422.366","366.698","0.456"
"312","AAPL","125.300","108.784","0.126"
"313","FB","78.563","68.189","-0.055"
"314","GOOG","537.803","467.035","0.311"
"315","YHOO","42.518","36.911","0.022"
"316","SIRI","3.921","3.404","0.005"
"317","GE","27.135","23.555","0.004"
"318","S","5.105","4.434","-0.002"
"319","BAC","15.912","13.812","0.016"
"320","MSFT","48.958","42.511","0.041"
"321","AMZN","422.342","366.692","0.419"
"322","AAPL","125.300","108.813","0.121"
"323","FB","78.552","68.205","-0.056"
"324","GOOG","537.898","467.043","0.284"
"325","YHOO","42.516","36.920","0.019"
"326","SIRI","3.919","3.401","0.005"
"327","GE","27.130","23.554","-0.001"
"328","S","5.102","4.430","-0.002"
"329","BAC","15.911","13.814","0.017"
"330","MSFT","48.958","42.512","0.042"
"331","AMZN","422.237","366.593","0.370"
"332","AAPL","125.317","108.837","0.128"
"333","FB","78.548","68.213","-0.058"
"334","GOOG","537.990","467.157","0.287"
"335","YHOO","42.516","36.923","0.015"
"336","SIRI","3.916","3.398","0.005"
"337","GE","27.122","23.548","-0.006"
"338","S","5.103","4.430","-0.002"
"339","BAC","15.907","13.814","0.018"
"340","MSFT","48.963","42.515","0.042"
"341","AMZN","422.165","366.513","0.315"
"342","AAPL","125.337","108.855","0.119"
"343","FB","78.544","68.216","-0.066"
"344","GOOG","537.944","467.108","0.319"
"345","YHOO","42.516","36.922","0.008"
"346","SIRI","3.915","3.398","0.003"
"347","GE","27.114","23.541","-0.012"
"348","S","5.101","4.426","-0.001"
"349","BAC","15.908","13.816","0.017"
"350","MSFT","48.961","42.517","0.038"
"351","AMZN","422.122","366.496","0.241"
"352","AAPL","125.346","108.841","0.112"
"353","FB","78.566","68.232","-0.077"
"354","GOOG","537.832","466.953","0.353"
"355","YHOO","42.518","36.913","0.005"
"356","SIRI","3.914","3.399","0.003"
"357","GE","27.104","23.524","-0.018"
"358","S","5.095","4.420","-0.001"
"359","BAC","15.907","13.811","0.014"
"360","MSFT","48.958","42.509","0.031"
"361","AMZN","422.068","366.447","0.126"
"362","AAPL","125.353","108.828","0.083"
"363","FB","78.613","68.283","-0.099"
"364","GOOG","537.864","467.006","0.300"
"365","YHOO","42.510","36.900","-0.005"
"366","SIRI","3.913","3.399","0.001"
"367","GE","27.092","23.511","-0.024"
"368","S","5.089","4.415","-0.005"
"369","BAC","15.906","13.808","0.008"
"370","MSFT","48.956","42.505","0.021"
"371","AMZN","421.956","366.344","0.018"
"372","AAPL","125.319","108.785","0.056"
"373","FB","78.636","68.308","-0.090"
"374","GOOG","537.898","467.060","0.277"
"375","YHOO","42.494","36.886","-0.019"
"376","SIRI","3.913","3.397","0.001"
"377","GE","27.077","23.501","-0.029"
"378","S","5.086","4.413","-0.008"
"379","BAC","15.902","13.805","0.003"
"380","MSFT","48.951","42.499","0.017"
"381","AMZN","421.806","366.133","-0.064"
"382","AAPL","125.270","108.733","0.027"
"383","FB","78.644","68.296","-0.093"
"384","GOOG","537.788","466.964","0.317"
"385","YHOO","42.482","36.880","-0.027"
"386","SIRI","3.913","3.397","0.000"
"387","GE","27.064","23.493","-0.034"
"388","S","5.080","4.408","-0.011"
"389","BAC","15.898","13.801","0.000"
"390","MSFT","48.940","42.487","0.015"
"391","AMZN","421.680","366.013","-0.161"
"392","AAPL","125.224","108.705","0.014"
